li,si,lo,so,ao,po
0,35,78.112,67.6405,12,3.343378210481
0,49.2105263157895,78.112,82.6084473684211,10,3.3301891178302
0,63.4210526315789,78.112,97.5763947368421,9,3.3183659971261
0,77.6315789473684,78.112,112.544342105263,8,3.30795625869283
0,91.8421052631579,78.112,127.512289473684,7,3.29900347569633
0,106.052631578947,78.112,142.480236842105,6,3.29154656445955
0,120.263157894737,78.112,157.448184210526,4,3.28561900204632
0,134.473684210526,78.112,172.416131578947,3,3.28124811461258
0,148.684210526316,78.112,187.384078947368,2,3.27845446971629
0,162.894736842105,78.112,202.352026315789,0,3.27725140288017
0,177.105263157895,78.112,217.319973684211,-1,3.60540917352638
0,191.315789473684,78.112,232.287921052632,-2,3.6075957225763
0,205.526315789474,78.112,247.255868421053,-3,3.61152570188402
0,219.736842105263,78.112,262.223815789474,-5,3.61718046903629
0,233.947368421053,78.112,277.191763157895,-6,3.62453366257164
0,248.157894736842,78.112,292.159710526316,-7,3.63355179935598
0,262.368421052632,78.112,307.127657894737,-8,3.64419500380321
0,276.578947368421,78.112,322.095605263158,-9,3.65641783368243
0,290.789473684211,78.112,337.063552631579,-11,3.67017016549242
0,305,78.112,352.0315,-12,3.6853981033466
10.7894736842105,35,88.8237894736842,67.6405,12,3.31511224292195
10.7894736842105,49.2105263157895,88.8237894736842,82.6084473684211,11,3.30155612465627
10.7894736842105,63.4210526315789,88.8237894736842,97.5763947368421,9,3.28939567497275
10.7894736842105,77.6315789473684,88.8237894736842,112.544342105263,8,3.27868218640877
10.7894736842105,91.8421052631579,88.8237894736842,127.512289473684,7,3.26946294810974
10.7894736842105,106.052631578947,88.8237894736842,142.480236842105,6,3.26178031432708
10.7894736842105,120.263157894737,88.8237894736842,157.448184210526,4,3.25567080897794
10.7894736842105,134.473684210526,88.8237894736842,172.416131578947,3,3.25116430630838
10.7894736842105,148.684210526316,88.8237894736842,187.384078947368,2,3.24828332781551
10.7894736842105,162.894736842105,88.8237894736842,202.352026315789,1,3.2470424924236
10.7894736842105,177.105263157895,88.8237894736842,217.319973684211,-1,3.57219296545167
10.7894736842105,191.315789473684,88.8237894736842,232.287921052632,-2,3.57444804434109
10.7894736842105,205.526315789474,88.8237894736842,247.255868421053,-3,3.5785004760678
10.7894736842105,219.736842105263,88.8237894736842,262.223815789474,-5,3.58432983422162
10.7894736842105,233.947368421053,88.8237894736842,277.191763157895,-6,3.59190727410207
10.7894736842105,248.157894736842,88.8237894736842,292.159710526316,-7,3.60119622528589
10.7894736842105,262.368421052632,88.8237894736842,307.127657894737,-9,3.61215323339723
10.7894736842105,276.578947368421,88.8237894736842,322.095605263158,-10,3.62472890820786
10.7894736842105,290.789473684211,88.8237894736842,337.063552631579,-11,3.63886893352957
10.7894736842105,305,88.8237894736842,352.0315,-12,3.65451509610302
21.5789473684211,35,99.5355789473684,67.6405,12,3.28695988374373
21.5789473684211,49.2105263157895,99.5355789473684,82.6084473684211,11,3.27301718458155
21.5789473684211,63.4210526315789,99.5355789473684,97.5763947368421,10,3.26050067259414
21.5789473684211,77.6315789473684,99.5355789473684,112.544342105263,8,3.24946593273748
21.5789473684211,91.8421052631579,99.5355789473684,127.512289473684,7,3.23996438646163
21.5789473684211,106.052631578947,99.5355789473684,142.480236842105,6,3.23204223064336
21.5789473684211,120.263157894737,99.5355789473684,157.448184210526,5,3.22573940968566
21.5789473684211,134.473684210526,99.5355789473684,172.416131578947,3,3.22108866879251
21.5789473684211,148.684210526316,99.5355789473684,187.384078947368,2,3.21811473721002
21.5789473684211,162.894736842105,99.5355789473684,202.352026315789,1,3.21683368685076
21.5789473684211,177.105263157895,99.5355789473684,217.319973684211,-1,3.53897775443196
21.5789473684211,191.315789473684,99.5355789473684,232.287921052632,-2,3.54130579052416
21.5789473684211,205.526315789474,99.5355789473684,247.255868421053,-4,3.54548851297291
21.5789473684211,219.736842105263,99.5355789473684,262.223815789474,-5,3.55150347739124
21.5789473684211,233.947368421053,99.5355789473684,277.191763157895,-6,3.55931903688765
21.5789473684211,248.157894736842,99.5355789473684,292.159710526316,-8,3.56889514843224
21.5789473684211,262.368421052632,99.5355789473684,307.127657894737,-9,3.58018434830047
21.5789473684211,276.578947368421,99.5355789473684,322.095605263158,-10,3.5931328442106
21.5789473684211,290.789473684211,99.5355789473684,337.063552631579,-11,3.60768167037141
21.5789473684211,305,99.5355789473684,352.0315,-12,3.62376785453139
32.3684210526316,35,110.247368421053,67.6405,13,3.25893099498229
32.3684210526316,49.2105263157895,110.247368421053,82.6084473684211,11,3.24458069811166
32.3684210526316,63.4210526315789,110.247368421053,97.5763947368421,10,3.23168789408525
32.3684210526316,77.6315789473684,110.247368421053,112.544342105263,9,3.22031292171235
32.3684210526316,91.8421052631579,110.247368421053,127.512289473684,7,3.21051180780457
32.3684210526316,106.052631578947,110.247368421053,142.480236842105,6,3.20233505569395
32.3684210526316,120.263157894737,110.247368421053,157.448184210526,5,3.19582646161194
32.3684210526316,134.473684210526,110.247368421053,172.416131578947,3,3.19102201665878
32.3684210526316,148.684210526316,110.247368421053,187.384078947368,2,3.18794895390874
32.3684210526316,162.894736842105,110.247368421053,202.352026315789,1,3.18662499671569
32.3684210526316,177.105263157895,110.247368421053,217.319973684211,-1,3.50576364070518
32.3684210526316,191.315789473684,110.247368421053,232.287921052632,-2,3.50816950394863
32.3684210526316,205.526315789474,110.247368421053,247.255868421053,-4,3.51249112886145
32.3684210526316,219.736842105263,110.247368421053,262.223815789474,-5,3.51870377964976
32.3684210526316,233.947368421053,110.247368421053,277.191763157895,-6,3.52677263592548
32.3684210526316,248.157894736842,110.247368421053,292.159710526316,-8,3.53665373581267
32.3684210526316,262.368421052632,110.247368421053,307.127657894737,-9,3.54829511086385
32.3684210526316,276.578947368421,110.247368421053,322.095605263158,-10,3.5616380484595
32.3684210526316,290.789473684211,110.247368421053,337.063552631579,-12,3.5766184164989
32.3684210526316,305,110.247368421053,352.0315,-13,3.59316798970053
43.1578947368421,35,120.959157894737,67.6405,13,3.2310365627481
43.1578947368421,49.2105263157895,120.959157894737,82.6084473684211,12,3.21625606083796
43.1578947368421,63.4210526315789,120.959157894737,97.5763947368421,10,3.20296509036763
43.1578947368421,77.6315789473684,120.959157894737,112.544342105263,9,3.19122926356376
43.1578947368421,91.8421052631579,120.959157894737,127.512289473684,8,3.18110975120574
43.1578947368421,106.052631578947,120.959157894737,142.480236842105,6,3.17266189623055
43.1578947368421,120.263157894737,120.959157894737,157.448184210526,5,3.16593384648099
43.1578947368421,134.473684210526,120.959157894737,172.416131578947,3,3.16096527620851
43.1578947368421,148.684210526316,120.959157894737,187.384078947368,2,3.157786269329
43.1578947368421,162.894736842105,120.959157894737,202.352026315789,1,3.15641643403756
43.1578947368421,177.105263157895,120.959157894737,217.319973684211,-1,3.47255073840752
43.1578947368421,191.315789473684,120.959157894737,232.287921052632,-2,3.47503980224493
43.1578947368421,205.526315789474,120.959157894737,247.255868421053,-4,3.47950981942353
43.1578947368421,219.736842105263,120.959157894737,262.223815789474,-5,3.48593344164941
43.1578947368421,233.947368421053,120.959157894737,277.191763157895,-7,3.49427224084175
43.1578947368421,248.157894736842,120.959157894737,292.159710526316,-8,3.50447781743415
43.1578947368421,262.368421052632,120.959157894737,307.127657894737,-9,3.51649312642785
43.1578947368421,276.578947368421,120.959157894737,322.095605263158,-11,3.53025394179388
43.1578947368421,290.789473684211,120.959157894737,337.063552631579,-12,3.54569037990973
43.1578947368421,305,120.959157894737,352.0315,-13,3.56272840957881
53.9473684210526,35,131.670947368421,67.6405,13,3.20328885345066
53.9473684210526,49.2105263157895,131.670947368421,82.6084473684211,12,3.18805380907119
